Target,Best Method,ADF Statistic
FEDFUNDS,None,-9.90470954357979
GDP,Simple Differencing,-8.792987501968588
CPIAUCSL,Rolling Mean Subtraction + Differencing,-7.862596512374685
CUSR0000SAH1,Simple Differencing,-16.037858100932088
CPILFESL,Rolling Mean Subtraction,-12.459943675303641
PCE,None,-14.013365870090071
PRFI,Rolling Mean Subtraction + Differencing,-7.351385132108184
PNFI,Rolling Mean Subtraction + Differencing,-7.660816981129091
EXPGS,Rolling Mean Subtraction,-7.805580529192042
HOUST,None,-22.55537936030129
DSPI,Rolling Mean Subtraction + Differencing,-8.870664983285632
DGS2,Rolling Mean Subtraction,-10.008095965641193
DGS5,None,-13.973606844061568
DGS10,None,-14.164317253804906
AAA,None,-13.12900731626659
BAA,Simple Differencing,-9.062981543768682
WTISPLC,None,-10.986304017801775
IMPGS,Rolling Mean Subtraction,-7.582927303915486
GCE,Rolling Mean Subtraction + Differencing,-6.957329746869513
FGCE,Rolling Mean Subtraction + Differencing,-5.557426940849257
GDPCTPI,Rolling Mean Subtraction + Differencing,-6.611847860846314
PCEPI,None,-8.817217483882564
PCEPILFE,Simple Differencing,-9.79302302430611
PAYEMS,None,-13.222395073177218
UNRATE,None,-14.807931083442254
INDPRO,None,-12.380686572601956
CUMFNS,None,-12.245146861778471
M1,None,-9.389680503866465
M1V,Rolling Mean Subtraction + Differencing,-7.347554010339487
M2,Rolling Mean Subtraction,-6.5414022580036235
VIXCLS,Rolling Mean Subtraction + Differencing,-9.087497138692543
BAMLH0A0HYM2,None,-13.823847276330905
BAA10Y,None,-14.034136102669564
BAMLC0A4CBBBEY,None,-15.314899937049061
BAMLC0A1CAAAEY,None,-14.871315668745929
T10YIE,None,-17.22826867771286
T5YIE,Rolling Mean Subtraction,-8.848346447964987
DGS3MO,Rolling Mean Subtraction + Differencing,-9.197488849352355
DGS30,None,-10.729361164325908
BAA10YM,None,-12.383656252533902
MORTGAGE30US,None,-12.206538099497308
RSXFS,Simple Differencing,-12.211181966297863
TCU,None,-11.98829160752178
UMCSENT,Rolling Mean Subtraction,-9.708382927694409
NETEXP,Rolling Mean Subtraction + Differencing,-7.854449052044734
PI,Rolling Mean Subtraction + Differencing,-9.394777324253699
PPIACO,Simple Differencing,-8.352494527161955
M1REAL,None,-15.01651079686766
M2REAL,Rolling Mean Subtraction,-9.11840803319521
