iter	RMSE
0	0.2421308195
1	0.2417765684
2	0.2413495877
3	0.2409292015
4	0.2405810525
5	0.2402086611
6	0.239765697
7	0.2394138852
8	0.2390170298
9	0.2386557389
10	0.2382335078
11	0.2377772143
12	0.2374564789
13	0.237100504
14	0.2367094718
15	0.2363893334
16	0.2360215834
17	0.2355720723
18	0.2352267989
19	0.2348978415
20	0.2344826978
21	0.2342602074
22	0.2339891937
23	0.2337379832
24	0.2333873444
25	0.2329859922
26	0.2326275482
27	0.232332254
28	0.2320313196
29	0.2316571608
30	0.2313309511
31	0.2309837889
32	0.2306715371
33	0.230364911
34	0.2299714698
35	0.2296077124
36	0.2293241654
37	0.2290288336
38	0.228684292
39	0.2283617678
40	0.228022397
41	0.2276722595
42	0.2273907971
43	0.227166978
44	0.2268614086
45	0.2265594551
46	0.2262263409
47	0.2258761123
48	0.225552501
49	0.225244469
50	0.2249362837
51	0.2246385153
52	0.2242848857
53	0.2239897037
54	0.2236171931
55	0.2233286639
56	0.2230581457
57	0.2227124794
58	0.2223790577
59	0.2220851029
60	0.2217816246
61	0.221482497
62	0.2212604317
63	0.2210280761
64	0.2207108878
65	0.2204380697
66	0.2201657958
67	0.2198475338
68	0.2195371377
69	0.2192415774
70	0.2189323261
71	0.2186589563
72	0.2183437205
73	0.2180462752
74	0.2177881833
75	0.2174491064
76	0.2171983546
77	0.2169301432
78	0.2166439232
79	0.2164152543
80	0.2161191014
81	0.2158054331
82	0.2155352527
83	0.2152303363
84	0.2150181701
85	0.2148064319
86	0.2145095613
87	0.2142234359
88	0.2139676949
89	0.2136632126
90	0.2134352252
91	0.2131547454
92	0.2128953471
93	0.2126523105
94	0.2124185581
95	0.2121988853
96	0.2119397173
97	0.2116693959
98	0.2114742323
99	0.2112334242
100	0.2109354356
101	0.2107292992
102	0.2105136876
103	0.2102609562
104	0.2099583951
105	0.2096340547
106	0.2093959622
107	0.2091443104
108	0.208901815
109	0.2086528865
110	0.2083435673
111	0.2080698105
112	0.2078737567
113	0.2076242198
114	0.207358789
115	0.2071856991
116	0.2069866118
117	0.2067574469
118	0.2065249949
119	0.2063197015
120	0.2060881679
121	0.2058251256
122	0.2055885314
123	0.2053170707
124	0.2051036599
125	0.2048317367
126	0.2046709573
127	0.2044730691
128	0.2042889513
129	0.2040374296
130	0.2038537546
131	0.2036216923
132	0.2033876283
133	0.2031294138
134	0.20293787
135	0.2026680707
136	0.202442723
137	0.2021983424
138	0.2019708819
139	0.2017313928
140	0.2015157257
141	0.2012756574
142	0.2010172016
143	0.200756934
144	0.2004976409
145	0.2002040036
146	0.200066051
147	0.1998571818
148	0.1996723484
149	0.1994289582
150	0.1991667283
151	0.1989202989
152	0.1987250682
153	0.1985324189
154	0.1983028431
155	0.1981276526
156	0.1978958819
157	0.1976994611
158	0.1974817726
159	0.1972364785
160	0.1969887089
161	0.1967589841
162	0.1965262421
163	0.1962726119
164	0.1961062965
165	0.1958968248
166	0.19566942
167	0.1954280645
168	0.1952125303
169	0.1950000057
170	0.1948090649
171	0.1946111997
172	0.1943587196
173	0.1941659497
174	0.1939981501
175	0.1938066489
176	0.1936449613
177	0.1934686058
178	0.1933097749
179	0.1931029462
180	0.1929592952
181	0.1926905768
182	0.1924932568
183	0.1923430473
184	0.1921439006
185	0.1919521926
186	0.1917373837
187	0.1915690076
188	0.1913542184
189	0.1911683809
190	0.1909334791
191	0.1907568918
192	0.1905222164
193	0.1903269092
194	0.1901475606
195	0.1899524389
196	0.1897478201
197	0.1895586528
198	0.189392182
199	0.189185036
200	0.1890056059
201	0.1888200178
202	0.1886780771
203	0.1885066128
204	0.1883409301
205	0.1881699104
206	0.1879865449
207	0.1878829265
208	0.1876689197
209	0.1875027826
210	0.1873310982
211	0.1871631437
212	0.1870160536
213	0.1868215603
214	0.1866497333
215	0.1865122645
216	0.1863532142
217	0.1861402867
218	0.1859097104
219	0.185749809
220	0.1855812658
221	0.185402562
222	0.1851819065
223	0.1850393379
224	0.1849274366
225	0.1847652643
226	0.184545516
227	0.184337934
228	0.1841608119
229	0.1839736714
230	0.1837831209
231	0.1836151695
232	0.183453623
233	0.1832068271
234	0.1830044365
235	0.1828013643
236	0.1826618831
237	0.1824605216
238	0.1823183954
239	0.1822023773
240	0.1820442918
241	0.1818809308
242	0.1816940627
243	0.1815158893
244	0.1813740392
245	0.1811890218
246	0.1810145865
247	0.1807631647
248	0.1806361172
249	0.1804910577
250	0.1803777974
251	0.1802587492
252	0.1800933199
253	0.1799047128
254	0.1797190032
255	0.179561791
256	0.1794155526
257	0.1792559096
258	0.1790710639
259	0.1788994506
260	0.1787539358
261	0.1786218744
262	0.1784556605
263	0.1782695416
264	0.1781317849
265	0.177930867
266	0.1778164936
267	0.1776509715
268	0.1774946226
269	0.1773453411
270	0.1772011079
271	0.1770130968
272	0.1768187498
273	0.1766488452
274	0.1765650903
275	0.176379474
276	0.1762540936
277	0.1761107919
278	0.1759721436
279	0.1758348578
280	0.1756696737
281	0.1754851632
282	0.1753678821
283	0.1752288792
284	0.1751126502
285	0.1749806226
286	0.1748397651
287	0.1746872088
288	0.1745991399
289	0.1744326639
290	0.1742849338
291	0.1741547701
292	0.1740651448
293	0.1739611064
294	0.1737807551
295	0.1736107832
296	0.1734907091
297	0.1733352895
298	0.1731892522
299	0.1730114491
300	0.1729066607
301	0.1727568566
302	0.1726239231
303	0.1724824009
304	0.1723867542
305	0.1722317612
306	0.1720670803
307	0.1719475805
308	0.1718260575
309	0.1716922811
310	0.1715204185
311	0.1713557905
312	0.1712490199
313	0.1711388183
314	0.1710069699
315	0.1709155847
316	0.170831559
317	0.1706736756
318	0.1705477013
319	0.1703959824
320	0.1702844733
321	0.1701869895
322	0.1700323452
323	0.1698635082
324	0.1696945828
325	0.1695742454
326	0.1694587717
327	0.1693138909
328	0.1691226689
329	0.1690003689
330	0.1688478289
331	0.1686987504
332	0.1685876226
333	0.1684988763
334	0.168392207
335	0.168290971
336	0.1681509238
337	0.1680074014
338	0.1678685642
339	0.1677555192
340	0.1676562634
341	0.1675251477
342	0.1674082573
343	0.1673080198
344	0.1671502946
345	0.1670061471
346	0.1668277661
347	0.1667536026
348	0.1666635307
349	0.1665496993
350	0.1664487926
351	0.1662756101
352	0.1661161791
353	0.1659556772
