Feature,MSE
CPILFESL,1.2276266984075561e-05
PCEPI,1.9120595191711048e-05
PCEPILFE,2.7562684690728544e-05
CUSR0000SAH1,2.8603893521120964e-05
GDPCTPI,3.958501812530017e-05
GCE,3.9681473618846665e-05
CPIAUCSL,4.4287753307724615e-05
GDP,0.000293181311913279
IMPGS,0.0003709695777948412
FGCE,0.0005271322906244487
EXPGS,0.0005495528313740025
PNFI,0.0006853679542511106
PCE,0.001081849414450087
DGS5,0.0017181355397422975
DSPI,0.002667426282470374
AAA,0.002883360570530301
BAA,0.003278196760992357
PAYEMS,0.003681485382167038
DGS2,0.004744421250384783
INDPRO,0.004946191474438702
DGS10,0.005195089704476605
PRFI,0.005772724008175044
FEDFUNDS,0.015388736237312142
UNRATE,0.5576828391078871
USREC,0.6005551153653645
CUMFNS,2.0738262376862817
HOUST,12.495222089363685
WTISPLC,14.922046542515218
