Target,MSE
CUSR0000SAH1,2.152632541760084e-08
PCEPI,4.72853634667165e-08
CPIAUCSL,7.115202307306771e-08
GCE,1.0346001237301616e-07
GDPCTPI,1.7804321625451494e-07
CPILFESL,1.8410669547440007e-07
PNFI,2.4543330443617005e-07
PCEPILFE,2.750270856706634e-07
FGCE,4.7653042604658057e-07
PRFI,1.4393713462697882e-06
GDP,1.8145594618585072e-06
BAA,2.75100566313985e-06
AAA,4.764763954408494e-06
DGS10,7.601736132355593e-06
IMPGS,2.362671593425011e-05
DGS2,2.8091730801211348e-05
EXPGS,4.195139237528536e-05
DGS5,5.270084684399264e-05
FEDFUNDS,8.212337787669172e-05
PCE,0.00024657136641142904
DSPI,0.0007781313488311924
PAYEMS,0.0023468276322491047
INDPRO,0.0025545835144884
UNRATE,0.3463739723216978
USREC,0.6005551153653645
CUMFNS,1.2908081871882457
HOUST,9.816093236994341
WTISPLC,14.23249234698504
