Feature,MSE with Variance
DGS5,0.22263200484180515
DGS2,0.33671517068744655
GCE,0.5880192482136434
AAA,0.6403059639377986
PCEPI,0.6924876254882777
IMPGS,0.6980282461566255
EXPGS,0.7332033017853765
BAA,0.8098354946214188
INDPRO,0.8916091506195515
PCE,0.9259775991055942
DGS10,0.9715812276629477
CUMFNS,0.995247810541009
PAYEMS,1.0029894505990622
WTISPLC,1.0096934659246883
USREC,1.0111788473553776
HOUST,1.0234792120774185
UNRATE,1.0424318473936816
DSPI,1.072248163474457
CPIAUCSL,1.0905633268557446
CPILFESL,1.2533147096294468
GDP,1.4419091147412846
FGCE,1.8254234013334378
FEDFUNDS,2.0401474362243395
PCEPILFE,2.3850364088711102
PNFI,5.96737325032603
CUSR0000SAH1,6.874460526060748
GDPCTPI,11.092178678539259
PRFI,16.129025358215973
