Target,MSE with Variance
BAA,0.0006795998514868824
AAA,0.0010581079619197582
DGS10,0.001421670181648563
GCE,0.0015331204501150633
FGCE,0.0016501925733336518
PCEPI,0.0017125266624342173
CPIAUCSL,0.001752082262017732
DGS2,0.001993691418288066
PNFI,0.002136942829829066
PRFI,0.004021612138567169
CUSR0000SAH1,0.005173487107451511
DGS5,0.006828853090076243
GDP,0.008924272185765181
FEDFUNDS,0.010887430666527502
CPILFESL,0.018795911646321235
PCEPILFE,0.023798465937205766
IMPGS,0.04445678587462529
GDPCTPI,0.049889762862952075
EXPGS,0.05597077778154487
PCE,0.21104560286137192
DSPI,0.31279211545948876
INDPRO,0.4604937049668473
CUMFNS,0.6194704256229251
PAYEMS,0.6393732727887897
UNRATE,0.6474491136108708
HOUST,0.8040327174680145
WTISPLC,0.9630350961331128
USREC,1.0111788473553776
