,Model Type,MSE Score,MSE Raw Score,RMSE Score,Data Correlation,CV round,File
0,XGBoost,3622.3629741437157,3622.3629741437157,60.18606960205755,1.0,1,transformed_data__impute.csv
1,LightGBM,3688.8898816567007,3688.8898816567007,60.736232033743256,1.0,1,transformed_data__impute.csv
2,XGBoost,46272.094424414376,46272.094424414376,215.1094940359778,1.0,2,transformed_data__impute.csv
3,LightGBM,63900.7128391682,63900.7128391682,252.78590316544197,1.0,2,transformed_data__impute.csv
4,XGBoost,45671.70191185335,45671.70191185335,213.7093865787213,0.9999999999999998,3,transformed_data__impute.csv
5,LightGBM,56139.701612637764,56139.701612637764,236.93818099377265,0.9999999999999998,3,transformed_data__impute.csv
6,XGBoost,4591885.498924881,4591885.498924881,2142.8685211475017,1.0,4,transformed_data__impute.csv
7,LightGBM,4598132.979653535,4598132.979653535,2144.325763416915,1.0,4,transformed_data__impute.csv
8,XGBoost,527863.8425533934,527863.8425533934,726.5423886831335,1.0,5,transformed_data__impute.csv
9,LightGBM,13450832.76374908,13450832.76374908,3667.537697658891,1.0,5,transformed_data__impute.csv
10,XGBoost,1230.2704446604532,1230.2704446604532,35.07521125610583,1.0,1,transformed_data__impute.csv
11,LightGBM,1259.9967689399118,1259.9967689399118,35.496433186165504,1.0,1,transformed_data__impute.csv
12,XGBoost,477.84300523535865,477.84300523535865,21.859620427522493,1.0,2,transformed_data__impute.csv
13,LightGBM,70.30326609236124,70.30326609236124,8.384704293674359,1.0,2,transformed_data__impute.csv
14,XGBoost,1532.8078525782298,1532.8078525782298,39.15109005606651,1.0,3,transformed_data__impute.csv
15,LightGBM,1354.1468287622247,1354.1468287622247,36.79873406466892,1.0,3,transformed_data__impute.csv
16,XGBoost,308.04723190771404,308.04723190771404,17.551274367057054,1.0,4,transformed_data__impute.csv
17,LightGBM,276.6707870691932,276.6707870691932,16.63342379274914,1.0,4,transformed_data__impute.csv
18,XGBoost,372.99965368483913,372.99965368483913,19.313198950066226,1.0,5,transformed_data__impute.csv
19,LightGBM,271.5985766227724,271.5985766227724,16.480248075280066,1.0,5,transformed_data__impute.csv
20,XGBoost,427.9141430119932,427.9141430119932,20.686085734425284,1.0,1,transformed_data__impute.csv
21,LightGBM,329.4511619071453,329.4511619071453,18.150789567044882,1.0,1,transformed_data__impute.csv
22,XGBoost,132.47226020117662,132.47226020117662,11.509659430286225,1.0,2,transformed_data__impute.csv
23,LightGBM,120.20899480359805,120.20899480359805,10.963986264292657,1.0,2,transformed_data__impute.csv
24,XGBoost,47.04976799916994,47.04976799916994,6.859283344429645,1.0,3,transformed_data__impute.csv
25,LightGBM,60.92250603180187,60.92250603180187,7.805287056335716,1.0,3,transformed_data__impute.csv
26,XGBoost,157.4985722141168,157.4985722141168,12.549843513531027,0.9999999999999998,4,transformed_data__impute.csv
27,LightGBM,173.72541315294595,173.72541315294595,13.180493661200476,0.9999999999999998,4,transformed_data__impute.csv
28,XGBoost,1363.754577346895,1363.754577346895,36.929047880319025,1.0,5,transformed_data__impute.csv
29,LightGBM,1456.894359263315,1456.894359263315,38.16928554824304,1.0,5,transformed_data__impute.csv
30,XGBoost,1043506.7245823322,1043506.7245823322,1021.5217690202849,1.0,1,transformed_data__impute.csv
31,LightGBM,1015835.0030776236,1015835.0030776236,1007.8864038559224,1.0,1,transformed_data__impute.csv
