target,feature
FEDFUNDS,FEDFUNDS_lag_3
FEDFUNDS,FEDFUNDS_lag_6
FEDFUNDS,FEDFUNDS_lag_9
GDP,GDP_lag_1
GDP,GDP_lag_4
GDP,GDP_lag_3
CPIAUCSL,CPIAUCSL_lag_3
CPIAUCSL,CPIAUCSL_lag_5
CPIAUCSL,CPIAUCSL_lag_4
CUSR0000SAH1,CUSR0000SAH1_lag_4
CUSR0000SAH1,CUSR0000SAH1_lag_9
CUSR0000SAH1,CUSR0000SAH1_lag_3
CPILFESL,CPILFESL_lag_1
CPILFESL,CPILFESL_lag_10
CPILFESL,CPILFESL_lag_9
PCE,PCE_lag_10
PCE,PCE_lag_4
PCE,PCE_lag_5
PRFI,PRFI_lag_1
PRFI,PRFI_lag_2
PRFI,PRFI_lag_5
PNFI,PNFI_lag_1
PNFI,PNFI_lag_2
PNFI,PNFI_lag_3
EXPGS,EXPGS_lag_8
EXPGS,EXPGS_lag_7
EXPGS,EXPGS_lag_6
HOUST,HOUST_lag_1
HOUST,HOUST_lag_3
HOUST,HOUST_lag_4
DSPI,DSPI_lag_1
DSPI,DSPI_lag_2
DSPI,DSPI_lag_6
DGS2,DGS2_lag_5
DGS2,DGS2_lag_7
DGS2,DGS2_lag_6
DGS5,DGS5_lag_6
DGS5,DGS5_lag_4
DGS5,DGS5_lag_9
DGS10,DGS10_lag_1
DGS10,DGS10_lag_2
DGS10,DGS10_lag_4
AAA,AAA_lag_1
AAA,AAA_lag_3
AAA,AAA_lag_7
BAA,BAA_lag_2
BAA,BAA_lag_1
BAA,BAA_lag_5
WTISPLC,WTISPLC_lag_5
WTISPLC,WTISPLC_lag_6
WTISPLC,WTISPLC_lag_7
IMPGS,IMPGS_lag_1
IMPGS,IMPGS_lag_4
IMPGS,IMPGS_lag_5
GCE,GCE_lag_4
GCE,GCE_lag_3
GCE,GCE_lag_9
FGCE,FGCE_lag_1
FGCE,FGCE_lag_5
FGCE,FGCE_lag_4
GDPCTPI,GDPCTPI_lag_1
GDPCTPI,GDPCTPI_lag_2
GDPCTPI,GDPCTPI_lag_5
PCEPI,PCEPI_lag_2
PCEPI,PCEPI_lag_1
PCEPI,PCEPI_lag_8
PCEPILFE,PCEPILFE_lag_10
PCEPILFE,PCEPILFE_lag_9
PCEPILFE,PCEPILFE_lag_5
PAYEMS,PAYEMS_lag_1
PAYEMS,PAYEMS_lag_6
PAYEMS,PAYEMS_lag_8
UNRATE,UNRATE_lag_1
UNRATE,UNRATE_lag_5
UNRATE,UNRATE_lag_10
INDPRO,INDPRO_lag_3
INDPRO,INDPRO_lag_6
INDPRO,INDPRO_lag_1
CUMFNS,CUMFNS_lag_2
CUMFNS,CUMFNS_lag_8
CUMFNS,CUMFNS_lag_4
USREC,USREC_lag_2
USREC,USREC_lag_3
USREC,USREC_lag_4
